Patient State,Patient ZIP-3,Cohort Patient Count or %,White,Black or African American,Asian or Pacific Islander,Hispanic or Latino,Other,Unknown
US-IL,622,384.0000,221.00,42.00,5.00,7.00,6.00,103.00
US-RI,029,383.0000,180.00,34.00,3.00,68.00,4.00,94.00
US-NJ,085,379.0000,171.00,22.00,14.00,16.00,42.00,114.00
US-MI,496,378.0000,283.00,8.00,5.00,7.00,12.00,63.00
US-CA,937,377.0000,99.00,29.00,17.00,131.00,28.00,73.00
US-AR,729,377.0000,264.00,16.00,40.00,19.00,10.00,28.00
US-OR,978,376.0000,293.00,10.00,7.00,41.00,8.00,17.00
US-IA,515,375.0000,282.00,5.00,2.00,22.00,12.00,52.00
US-NY,148,373.0000,305.00,17.00,6.00,13.00,8.00,24.00
US-MI,497,373.0000,285.00,10.00,2.00,12.00,11.00,53.00
US-MA,026,372.0000,288.00,20.00,10.00,28.00,14.00,12.00
US-CT,068,371.0000,208.00,37.00,12.00,56.00,32.00,26.00
US-GA,319,370.0000,147.00,150.00,6.00,21.00,19.00,27.00
US-PA,166,370.0000,228.00,15.00,3.00,8.00,2.00,114.00
US-IA,503,370.0000,253.00,39.00,12.00,35.00,8.00,23.00
US-PA,153,369.0000,223.00,20.00,2.00,14.00,3.00,107.00
US-KY,425,368.0000,283.00,11.00,2.00,5.00,19.00,48.00
US-OK,748,367.0000,207.00,9.00,4.00,12.00,18.00,117.00
US-AR,727,366.0000,209.00,14.00,33.00,20.00,15.00,75.00
US-CA,941,366.0000,151.00,27.00,50.00,41.00,32.00,65.00
US-OR,971,366.0000,224.00,5.00,6.00,37.00,8.00,86.00
US-IL,620,366.0000,206.00,23.00,4.00,13.00,8.00,112.00
US-PA,186,365.0000,197.00,11.00,2.00,12.00,6.00,137.00
US-IL,610,365.0000,257.00,18.00,4.00,27.00,16.00,43.00
US-NY,103,364.0000,151.00,45.00,12.00,73.00,4.00,79.00
US-FL,324,364.0000,253.00,27.00,7.00,14.00,10.00,53.00
US-VA,229,364.0000,220.00,63.00,13.00,10.00,36.00,22.00
US-IL,612,364.0000,214.00,37.00,,16.00,9.00,88.00
US-CA,940,364.0000,107.00,10.00,37.00,30.00,42.00,138.00
US-UT,844,363.0000,268.00,12.00,2.00,63.00,7.00,11.00
US-WV,255,362.0000,290.00,12.00,1.00,6.00,7.00,46.00
US-AR,724,358.0000,213.00,18.00,8.00,3.00,45.00,71.00
US-NJ,086,357.0000,120.00,92.00,5.00,25.00,25.00,90.00
US-NY,128,356.0000,219.00,7.00,4.00,17.00,20.00,89.00
US-HI,967,353.0000,93.00,4.00,66.00,30.00,30.00,130.00
US-NM,881,350.0000,153.00,17.00,4.00,130.00,7.00,39.00
US-UT,846,349.0000,278.00,11.00,5.00,35.00,11.00,9.00
US-CT,065,349.0000,166.00,60.00,7.00,76.00,14.00,26.00
US-NY,130,349.0000,274.00,19.00,7.00,19.00,10.00,20.00
US-KS,662,348.0000,233.00,19.00,6.00,25.00,8.00,57.00
US-VA,224,345.0000,151.00,71.00,4.00,19.00,30.00,70.00
US-TX,783,344.0000,89.00,5.00,1.00,122.00,2.00,125.00
US-PA,159,337.0000,256.00,23.00,,5.00,1.00,52.00
US-TX,780,333.0000,93.00,5.00,2.00,141.00,3.00,89.00
US-AL,366,333.0000,158.00,77.00,2.00,5.00,5.00,86.00
US-AR,719,332.0000,204.00,14.00,4.00,17.00,38.00,55.00
US-CA,946,324.0000,83.00,63.00,22.00,23.00,23.00,110.00
US-IN,472,320.0000,216.00,8.00,,10.00,8.00,78.00
US-KY,411,320.0000,254.00,6.00,1.00,5.00,21.00,33.00
US-VA,223,320.0000,144.00,71.00,18.00,53.00,10.00,24.00
US-PA,176,319.0000,154.00,31.00,3.00,53.00,3.00,75.00
US-OR,977,318.0000,231.00,9.00,3.00,15.00,13.00,47.00
US-CA,957,317.0000,142.00,20.00,18.00,37.00,21.00,79.00
US-TX,791,315.0000,168.00,14.00,4.00,44.00,5.00,80.00
US-CA,924,314.0000,73.00,51.00,5.00,145.00,9.00,31.00
US-WA,989,313.0000,157.00,12.00,9.00,97.00,10.00,28.00
US-MN,563,312.0000,181.00,25.00,1.00,12.00,15.00,78.00
US-PA,187,309.0000,161.00,19.00,1.00,14.00,3.00,111.00
US-WI,542,308.0000,151.00,7.00,3.00,19.00,12.00,116.00
US-PA,157,305.0000,227.00,8.00,,10.00,4.00,56.00
US-CA,960,304.0000,198.00,8.00,7.00,32.00,31.00,28.00
US-CO,815,304.0000,202.00,5.00,1.00,54.00,11.00,31.00
US-NC,277,302.0000,118.00,123.00,6.00,6.00,7.00,42.00
US-AL,357,297.0000,165.00,19.00,2.00,10.00,3.00,98.00
US-MS,391,296.0000,123.00,76.00,2.00,6.00,7.00,82.00
US-IA,500,296.0000,217.00,18.00,6.00,13.00,9.00,33.00
US-VA,228,295.0000,211.00,15.00,7.00,17.00,24.00,21.00
US-PA,172,290.0000,200.00,14.00,4.00,17.00,15.00,40.00
US-NE,691,289.0000,183.00,6.00,3.00,23.00,11.00,63.00
US-NY,132,289.0000,177.00,56.00,6.00,34.00,7.00,9.00
US-GA,316,288.0000,142.00,55.00,3.00,12.00,12.00,64.00
US-AL,359,288.0000,185.00,18.00,2.00,3.00,2.00,78.00
US-GA,313,288.0000,142.00,32.00,3.00,18.00,15.00,78.00
US-PA,154,288.0000,238.00,17.00,1.00,2.00,10.00,20.00
US-NE,680,284.0000,190.00,6.00,1.00,12.00,8.00,67.00
US-MO,636,282.0000,189.00,7.00,1.00,4.00,9.00,72.00
US-WI,548,281.0000,184.00,4.00,1.00,10.00,13.00,69.00
US-MS,388,280.0000,146.00,38.00,1.00,2.00,4.00,89.00
US-WV,258,280.0000,218.00,14.00,2.00,3.00,5.00,38.00
US-NY,123,277.0000,158.00,32.00,3.00,22.00,8.00,54.00
US-MA,014,277.0000,189.00,10.00,4.00,40.00,6.00,28.00
US-OH,455,277.0000,197.00,27.00,2.00,23.00,4.00,24.00
US-AL,350,277.0000,148.00,24.00,1.00,5.00,3.00,96.00
US-MS,392,276.0000,81.00,125.00,1.00,2.00,1.00,66.00
US-WI,539,275.0000,185.00,5.00,1.00,15.00,5.00,64.00
US-CO,810,274.0000,95.00,9.00,1.00,46.00,14.00,109.00
US-TX,763,272.0000,164.00,22.00,,31.00,2.00,53.00
US-KY,422,272.0000,192.00,27.00,2.00,4.00,17.00,30.00
US-WI,534,272.0000,121.00,42.00,3.00,21.00,2.00,83.00
US-ME,044,271.0000,205.00,6.00,1.00,14.00,17.00,28.00
US-MD,209,271.0000,60.00,69.00,14.00,37.00,7.00,84.00
US-FL,326,270.0000,151.00,36.00,8.00,28.00,7.00,40.00
US-NJ,079,269.0000,148.00,19.00,13.00,26.00,26.00,37.00
US-TN,384,269.0000,197.00,27.00,1.00,3.00,15.00,26.00
US-TN,385,267.0000,214.00,5.00,2.00,8.00,15.00,23.00
US-OH,457,267.0000,215.00,8.00,,4.00,4.00,36.00
US-ID,832,266.0000,137.00,6.00,2.00,14.00,7.00,100.00
US-NY,134,265.0000,207.00,7.00,2.00,14.00,4.00,31.00
US-NH,032,264.0000,177.00,3.00,1.00,15.00,23.00,45.00
US-OH,434,264.0000,171.00,6.00,,25.00,7.00,55.00
US-NY,119,262.0000,148.00,28.00,1.00,22.00,10.00,53.00
US-MO,657,262.0000,179.00,2.00,1.00,7.00,7.00,66.00
US-CA,936,262.0000,81.00,7.00,9.00,80.00,15.00,70.00
US-WV,257,261.0000,207.00,20.00,3.00,6.00,4.00,21.00
US-IN,464,261.0000,86.00,106.00,,31.00,1.00,37.00
US-WI,547,261.0000,132.00,9.00,1.00,7.00,10.00,102.00
US-TN,382,261.0000,208.00,22.00,1.00,7.00,10.00,13.00
US-NM,882,259.0000,139.00,6.00,,78.00,5.00,31.00
US-KY,415,259.0000,181.00,8.00,,1.00,31.00,38.00
US-MS,390,258.0000,97.00,66.00,,2.00,3.00,90.00
US-CA,914,257.0000,91.00,17.00,2.00,61.00,22.00,64.00
US-IN,475,256.0000,188.00,5.00,1.00,11.00,5.00,46.00
US-MI,498,255.0000,186.00,3.00,,6.00,5.00,55.00
US-WV,253,255.0000,202.00,18.00,1.00,9.00,5.00,20.00
US-OK,744,254.0000,129.00,15.00,,5.00,26.00,79.00
US-OK,737,253.0000,202.00,14.00,,14.00,6.00,17.00
US-KY,424,253.0000,178.00,21.00,,1.00,9.00,44.00
US-KY,409,252.0000,191.00,3.00,1.00,1.00,21.00,35.00
US-NH,031,250.0000,167.00,12.00,2.00,18.00,26.00,25.00
US-IL,625,249.0000,171.00,35.00,4.00,3.00,2.00,34.00
US-PA,178,248.0000,156.00,6.00,,15.00,4.00,67.00
US-VA,226,248.0000,181.00,20.00,3.00,14.00,24.00,6.00
US-GA,304,248.0000,132.00,55.00,3.00,7.00,7.00,44.00
US-MA,025,248.0000,178.00,19.00,,30.00,8.00,13.00
US-KY,408,248.0000,177.00,2.00,1.00,2.00,27.00,39.00
US-GA,314,247.0000,100.00,64.00,4.00,9.00,8.00,62.00
US-NY,124,247.0000,168.00,16.00,1.00,32.00,20.00,10.00
US-MA,016,247.0000,122.00,20.00,5.00,42.00,5.00,53.00
US-MO,658,246.0000,131.00,9.00,1.00,12.00,11.00,82.00
US-WA,988,246.0000,164.00,7.00,6.00,40.00,9.00,20.00
US-SC,292,243.0000,93.00,71.00,1.00,12.00,7.00,59.00
US-PA,173,243.0000,166.00,6.00,1.00,10.00,7.00,53.00
US-VT,054,243.0000,197.00,10.00,3.00,7.00,8.00,18.00
US-VA,237,243.0000,61.00,138.00,1.00,25.00,7.00,11.00
US-MN,560,243.0000,132.00,10.00,4.00,19.00,52.00,26.00
US-WV,260,242.0000,209.00,8.00,2.00,8.00,3.00,12.00
US-AZ,863,242.0000,152.00,4.00,3.00,26.00,14.00,43.00
US-MD,216,241.0000,140.00,32.00,1.00,4.00,8.00,56.00
US-PA,183,240.0000,138.00,22.00,4.00,38.00,8.00,30.00
US-WI,546,240.0000,159.00,6.00,1.00,6.00,4.00,64.00
US-MI,491,240.0000,164.00,11.00,3.00,9.00,10.00,43.00
US-TX,796,238.0000,125.00,19.00,1.00,38.00,5.00,50.00
US-NM,875,237.0000,103.00,3.00,4.00,73.00,9.00,45.00
US-NE,688,236.0000,152.00,3.00,2.00,34.00,6.00,39.00
US-AR,722,235.0000,119.00,76.00,17.00,7.00,5.00,11.00
US-IL,611,235.0000,143.00,41.00,2.00,13.00,7.00,29.00
US-NC,288,235.0000,162.00,26.00,3.00,15.00,7.00,22.00
US-MN,557,234.0000,190.00,5.00,3.00,2.00,10.00,24.00
US-IL,618,233.0000,131.00,45.00,4.00,6.00,4.00,43.00
US-PA,160,233.0000,137.00,2.00,5.00,2.00,2.00,85.00
US-VA,225,232.0000,119.00,48.00,2.00,17.00,11.00,35.00
US-PA,171,231.0000,84.00,59.00,6.00,23.00,3.00,56.00
US-NY,122,230.0000,107.00,61.00,4.00,17.00,5.00,36.00
US-CA,910,230.0000,85.00,12.00,20.00,60.00,16.00,37.00
US-NJ,081,229.0000,75.00,56.00,,38.00,23.00,37.00
US-ID,838,229.0000,117.00,3.00,3.00,12.00,8.00,86.00
US-KS,667,229.0000,149.00,11.00,5.00,8.00,11.00,45.00
US-OK,735,228.0000,106.00,24.00,1.00,17.00,7.00,73.00
US-CO,806,226.0000,112.00,2.00,2.00,39.00,19.00,52.00
US-AL,368,226.0000,138.00,40.00,,4.00,10.00,34.00
US-MD,215,225.0000,182.00,18.00,3.00,4.00,5.00,13.00
US-OK,743,225.0000,146.00,1.00,,7.00,27.00,44.00
US-IA,528,223.0000,124.00,31.00,1.00,15.00,2.00,50.00
US-NY,107,222.0000,54.00,57.00,7.00,62.00,9.00,33.00
US-NC,279,220.0000,142.00,38.00,,2.00,14.00,24.00
US-PA,182,217.0000,136.00,7.00,,32.00,3.00,39.00
US-AL,358,217.0000,93.00,37.00,2.00,5.00,6.00,74.00
US-MO,638,216.0000,146.00,20.00,2.00,4.00,8.00,36.00
US-AL,351,216.0000,113.00,18.00,2.00,7.00,1.00,75.00
US-WV,247,215.0000,174.00,23.00,3.00,8.00,1.00,6.00
US-MO,648,214.0000,123.00,7.00,2.00,8.00,6.00,68.00
US-NY,127,214.0000,138.00,11.00,3.00,35.00,14.00,13.00
US-GA,312,214.0000,71.00,80.00,3.00,,9.00,51.00
US-MT,598,211.0000,133.00,4.00,1.00,9.00,9.00,55.00
US-AK,995,211.0000,81.00,13.00,2.00,10.00,7.00,98.00
US-IA,502,210.0000,147.00,11.00,5.00,9.00,3.00,35.00
US-NY,147,209.0000,151.00,4.00,3.00,7.00,16.00,28.00
US-NY,133,207.0000,157.00,8.00,1.00,5.00,3.00,33.00
US-WA,990,206.0000,140.00,3.00,6.00,10.00,8.00,39.00
US-GA,308,204.0000,96.00,38.00,1.00,6.00,15.00,48.00
US-AL,352,204.0000,72.00,59.00,2.00,2.00,2.00,67.00
US-NJ,075,203.0000,38.00,41.00,3.00,77.00,10.00,34.00
US-IN,477,203.0000,121.00,24.00,1.00,4.00,6.00,47.00
US-ME,049,202.0000,168.00,4.00,1.00,5.00,12.00,12.00
US-NY,141,201.0000,131.00,1.00,1.00,7.00,3.00,58.00
US-NJ,072,201.0000,35.00,51.00,1.00,62.00,13.00,39.00
US-AL,363,201.0000,103.00,19.00,2.00,6.00,,71.00
US-MT,591,200.0000,140.00,5.00,2.00,19.00,11.00,23.00
US-PA,168,200.0000,141.00,6.00,2.00,4.00,1.00,46.00
US-IL,629,197.0000,142.00,12.00,2.00,6.00,3.00,32.00
US-PA,179,197.0000,145.00,5.00,,13.00,3.00,31.00
US-TX,755,197.0000,109.00,28.00,1.00,7.00,4.00,48.00
US-SC,298,197.0000,93.00,26.00,2.00,6.00,4.00,66.00
US-WY,826,194.0000,104.00,1.00,,13.00,3.00,73.00
US-NJ,073,194.0000,38.00,34.00,7.00,62.00,15.00,38.00
US-MO,656,194.0000,124.00,,1.00,3.00,10.00,56.00
US-OK,747,192.0000,86.00,5.00,1.00,8.00,10.00,82.00
US-NY,131,191.0000,153.00,6.00,3.00,10.00,1.00,18.00
US-IL,628,190.0000,147.00,12.00,1.00,4.00,4.00,22.00
US-GA,309,190.0000,59.00,67.00,3.00,5.00,7.00,49.00
US-IA,501,190.0000,146.00,10.00,3.00,6.00,6.00,19.00
US-CA,916,190.0000,61.00,16.00,4.00,40.00,16.00,53.00
US-UT,843,189.0000,151.00,1.00,1.00,19.00,3.00,14.00
US-MD,219,187.0000,127.00,17.00,,8.00,3.00,32.00
US-CA,949,186.0000,93.00,7.00,4.00,25.00,24.00,33.00
US-MO,639,186.0000,113.00,6.00,1.00,2.00,9.00,55.00
US-CA,955,186.0000,123.00,2.00,3.00,18.00,21.00,19.00
US-NY,136,186.0000,143.00,7.00,,9.00,11.00,16.00
US-AR,718,183.0000,98.00,17.00,12.00,10.00,3.00,43.00
US-KS,675,183.0000,30.00,9.00,2.00,10.00,112.00,20.00
US-CA,931,182.0000,51.00,1.00,4.00,36.00,27.00,63.00
US-IL,617,182.0000,130.00,12.00,,5.00,12.00,23.00
US-MN,558,181.0000,124.00,19.00,5.00,2.00,14.00,17.00
US-KY,417,181.0000,132.00,4.00,,2.00,25.00,18.00
US-TX,778,181.0000,73.00,17.00,,15.00,4.00,72.00
US-AR,716,179.0000,99.00,36.00,21.00,5.00,2.00,16.00
US-MS,396,179.0000,73.00,50.00,,1.00,6.00,49.00
US-IN,478,176.0000,109.00,9.00,2.00,2.00,7.00,47.00
US-NY,111,176.0000,53.00,30.00,17.00,34.00,8.00,34.00
US-TX,794,176.0000,82.00,8.00,1.00,36.00,2.00,47.00
US-VA,239,175.0000,89.00,50.00,,7.00,13.00,16.00
US-MN,565,174.0000,104.00,6.00,2.00,14.00,10.00,38.00
US-IA,507,173.0000,119.00,36.00,1.00,7.00,2.00,8.00
US-MN,559,171.0000,80.00,8.00,1.00,4.00,8.00,70.00
US-KY,426,170.0000,136.00,5.00,,1.00,11.00,17.00
US-VA,246,169.0000,126.00,8.00,,3.00,9.00,23.00
US-WI,540,169.0000,87.00,4.00,1.00,8.00,3.00,66.00
US-IL,613,169.0000,123.00,5.00,1.00,8.00,7.00,25.00
US-NY,126,168.0000,89.00,38.00,3.00,27.00,5.00,6.00
US-AZ,864,166.0000,94.00,5.00,1.00,26.00,11.00,29.00
US-PA,165,166.0000,103.00,12.00,,7.00,4.00,40.00
US-NV,897,165.0000,58.00,4.00,2.00,15.00,13.00,73.00
US-IA,524,165.0000,94.00,16.00,,5.00,9.00,41.00
US-IA,526,165.0000,134.00,6.00,1.00,8.00,3.00,13.00
US-PA,177,164.0000,94.00,10.00,,7.00,2.00,51.00
US-VA,244,164.0000,118.00,18.00,1.00,6.00,11.00,10.00
US-IA,527,164.0000,107.00,4.00,3.00,6.00,5.00,39.00
US-NM,883,163.0000,97.00,3.00,1.00,22.00,8.00,32.00
US-MO,653,162.0000,114.00,6.00,1.00,4.00,2.00,35.00
US-WV,251,160.0000,135.00,6.00,,3.00,,16.00
US-AZ,855,160.0000,93.00,1.00,2.00,29.00,6.00,29.00
US-AL,360,159.0000,78.00,20.00,5.00,4.00,,52.00
US-CO,814,158.0000,96.00,5.00,,18.00,12.00,27.00
US-PA,174,158.0000,92.00,22.00,3.00,18.00,2.00,21.00
US-CA,911,158.0000,50.00,11.00,14.00,35.00,18.00,30.00
US-MO,634,157.0000,122.00,11.00,2.00,7.00,8.00,7.00
US-KS,671,156.0000,91.00,9.00,,5.00,20.00,31.00
US-IA,520,156.0000,106.00,20.00,3.00,6.00,5.00,16.00
US-NM,870,155.0000,67.00,1.00,1.00,55.00,9.00,22.00
US-NE,684,154.0000,112.00,4.00,1.00,5.00,5.00,27.00
US-SD,577,154.0000,78.00,4.00,,4.00,3.00,65.00
US-NY,138,154.0000,117.00,8.00,1.00,13.00,1.00,14.00
US-NE,687,154.0000,93.00,5.00,4.00,15.00,6.00,31.00
US-IL,624,153.0000,100.00,3.00,1.00,4.00,6.00,39.00
US-MN,564,152.0000,115.00,1.00,,6.00,7.00,23.00
US-PA,163,152.0000,110.00,3.00,,4.00,1.00,34.00
US-ME,041,151.0000,113.00,4.00,2.00,8.00,19.00,5.00
US-AL,362,151.0000,78.00,23.00,1.00,1.00,2.00,46.00
US-AR,726,151.0000,103.00,,18.00,3.00,7.00,20.00
US-KS,670,149.0000,87.00,4.00,2.00,5.00,19.00,32.00
US-IA,525,148.0000,111.00,12.00,1.00,12.00,4.00,8.00
US-CO,808,148.0000,79.00,7.00,,17.00,14.00,31.00
US-FL,341,148.0000,80.00,4.00,3.00,27.00,2.00,32.00
US-PA,162,147.0000,82.00,3.00,1.00,,3.00,58.00
US-KY,406,147.0000,93.00,10.00,1.00,3.00,11.00,29.00
US-MO,650,145.0000,100.00,2.00,1.00,3.00,7.00,32.00
US-TX,767,144.0000,58.00,18.00,1.00,14.00,2.00,51.00
US-WV,265,144.0000,112.00,8.00,1.00,9.00,,14.00
US-IA,506,144.0000,108.00,5.00,2.00,2.00,2.00,25.00
US-TX,777,144.0000,52.00,44.00,1.00,10.00,6.00,31.00
US-MO,647,142.0000,107.00,2.00,2.00,3.00,4.00,24.00
US-ND,581,141.0000,55.00,6.00,2.00,2.00,7.00,69.00
US-IA,505,140.0000,108.00,9.00,3.00,13.00,2.00,5.00
US-AR,723,140.0000,57.00,39.00,14.00,4.00,2.00,24.00
US-AR,725,140.0000,90.00,1.00,14.00,3.00,5.00,27.00
US-OK,749,139.0000,78.00,1.00,4.00,10.00,17.00,29.00
US-KS,674,139.0000,73.00,5.00,1.00,8.00,34.00,18.00
US-CO,804,138.0000,92.00,1.00,3.00,14.00,14.00,14.00
US-OK,745,138.0000,65.00,3.00,1.00,1.00,3.00,65.00
US-NY,137,137.0000,105.00,8.00,5.00,7.00,6.00,6.00
US-VT,056,137.0000,113.00,3.00,,3.00,4.00,14.00
US-NH,034,136.0000,108.00,,1.00,9.00,11.00,7.00
US-TX,764,136.0000,107.00,1.00,1.00,12.00,,15.00
US-WV,250,136.0000,114.00,8.00,,3.00,2.00,9.00
US-OK,734,134.0000,81.00,4.00,,6.00,4.00,39.00
US-MT,597,133.0000,92.00,3.00,2.00,9.00,5.00,22.00
US-IN,476,133.0000,85.00,2.00,,3.00,3.00,40.00
US-HI,968,133.0000,26.00,8.00,29.00,10.00,10.00,50.00
US-AR,728,132.0000,83.00,2.00,21.00,5.00,3.00,18.00
US-CT,069,131.0000,54.00,18.00,7.00,31.00,10.00,11.00
US-TX,766,131.0000,63.00,10.00,3.00,15.00,1.00,39.00
US-VA,222,131.0000,71.00,27.00,6.00,11.00,2.00,14.00
US-CA,912,130.0000,57.00,5.00,11.00,22.00,12.00,23.00
US-NE,683,130.0000,98.00,3.00,,6.00,2.00,21.00
US-NY,139,130.0000,91.00,18.00,2.00,14.00,2.00,3.00
US-NE,693,129.0000,74.00,2.00,,35.00,3.00,15.00
US-IL,614,129.0000,98.00,8.00,1.00,5.00,1.00,16.00
US-WV,262,128.0000,106.00,8.00,,1.00,2.00,11.00
US-IN,466,128.0000,68.00,27.00,1.00,5.00,6.00,21.00
US-AL,355,128.0000,84.00,6.00,,,,38.00
US-SD,571,128.0000,51.00,5.00,2.00,6.00,4.00,60.00
US-IN,470,127.0000,90.00,3.00,2.00,3.00,1.00,28.00
US-NY,129,127.0000,104.00,2.00,1.00,5.00,3.00,12.00
US-NY,149,127.0000,95.00,11.00,,7.00,6.00,8.00
US-MO,637,125.0000,86.00,6.00,1.00,2.00,7.00,23.00
US-AL,354,125.0000,55.00,24.00,1.00,3.00,,42.00
US-CA,947,124.0000,46.00,9.00,4.00,12.00,11.00,42.00
US-AZ,860,124.0000,59.00,5.00,2.00,11.00,15.00,32.00
US-TX,758,123.0000,65.00,16.00,4.00,4.00,2.00,32.00
US-AK,996,122.0000,65.00,,,5.00,,52.00
US-OR,979,122.0000,85.00,4.00,2.00,16.00,3.00,12.00
US-WA,991,120.0000,85.00,2.00,1.00,9.00,6.00,17.00
US-TX,779,120.0000,47.00,3.00,1.00,37.00,2.00,30.00
US-VT,058,119.0000,93.00,1.00,1.00,1.00,3.00,20.00
US-ND,587,119.0000,54.00,3.00,2.00,5.00,2.00,53.00
US-KY,413,119.0000,98.00,,,3.00,11.00,7.00
US-MN,562,119.0000,84.00,2.00,,8.00,12.00,13.00
US-WV,259,118.0000,100.00,6.00,,2.00,3.00,7.00
US-WV,263,117.0000,99.00,5.00,2.00,4.00,,7.00
US-IL,627,117.0000,71.00,24.00,1.00,3.00,2.00,16.00
US-NH,033,117.0000,78.00,3.00,2.00,5.00,16.00,13.00
US-WV,248,117.0000,96.00,7.00,,6.00,1.00,7.00
US-KS,665,116.0000,88.00,8.00,1.00,5.00,5.00,9.00
US-MS,393,116.0000,58.00,25.00,1.00,1.00,3.00,28.00
US-MD,214,115.0000,50.00,13.00,1.00,5.00,,46.00
US-NY,116,115.0000,26.00,45.00,2.00,21.00,,21.00
US-IL,602,115.0000,48.00,17.00,5.00,13.00,9.00,23.00
US-IL,626,115.0000,93.00,3.00,,1.00,2.00,16.00
US-IA,510,115.0000,89.00,6.00,2.00,4.00,6.00,8.00
US-CA,905,114.0000,36.00,5.00,13.00,23.00,7.00,30.00
US-OH,449,114.0000,62.00,6.00,1.00,3.00,4.00,38.00
US-AK,997,114.0000,42.00,3.00,,4.00,3.00,62.00
US-GA,398,114.0000,54.00,37.00,,2.00,1.00,20.00
US-NY,110,113.0000,34.00,9.00,18.00,14.00,5.00,33.00
US-GA,318,112.0000,60.00,21.00,2.00,7.00,8.00,14.00
US-WV,256,112.0000,88.00,1.00,,5.00,1.00,17.00
US-KS,673,112.0000,74.00,5.00,,3.00,4.00,26.00
US-NY,135,111.0000,59.00,11.00,2.00,12.00,4.00,23.00
US-WV,267,111.0000,97.00,4.00,,2.00,3.00,5.00
US-MT,596,111.0000,67.00,1.00,1.00,4.00,5.00,33.00
US-WV,249,110.0000,88.00,4.00,1.00,4.00,,13.00
US-TX,790,109.0000,52.00,,1.00,23.00,2.00,31.00
US-MO,655,108.0000,70.00,3.00,,5.00,3.00,27.00
US-NM,874,106.0000,69.00,1.00,,12.00,7.00,17.00
US-PA,158,106.0000,73.00,3.00,,1.00,1.00,28.00
US-KY,412,103.0000,82.00,1.00,,1.00,7.00,12.00
US-MS,389,103.0000,50.00,25.00,,2.00,2.00,24.00
US-IL,623,102.0000,82.00,5.00,1.00,5.00,2.00,7.00
US-PR,006,102.0000,,,,67.00,,35.00
US-WI,545,101.0000,79.00,2.00,1.00,2.00,8.00,9.00
US-TX,769,100.0000,42.00,4.00,,19.00,2.00,33.00
US-OH,438,100.0000,56.00,4.00,,2.00,3.00,35.00
US-NH,037,100.0000,69.00,1.00,,3.00,8.00,19.00
US-IA,504,98.0000,70.00,3.00,1.00,10.00,3.00,11.00
US-ND,582,98.0000,81.00,2.00,1.00,4.00,4.00,6.00
US-KS,661,98.0000,57.00,24.00,2.00,11.00,,4.00
US-WV,252,97.0000,83.00,5.00,,3.00,2.00,4.00
US-IA,522,97.0000,47.00,4.00,3.00,9.00,1.00,33.00
US-SC,299,96.0000,54.00,12.00,,4.00,4.00,22.00
US-SD,570,96.0000,51.00,2.00,2.00,5.00,5.00,31.00
US-IA,523,95.0000,51.00,4.00,2.00,2.00,5.00,31.00
US-TX,795,95.0000,52.00,3.00,,13.00,2.00,25.00
US-KS,664,94.0000,58.00,14.00,1.00,7.00,4.00,10.00
US-NJ,089,94.0000,26.00,16.00,3.00,14.00,7.00,28.00
US-TX,768,93.0000,61.00,3.00,,14.00,,15.00
US-WY,820,93.0000,37.00,2.00,1.00,7.00,2.00,44.00
US-NJ,084,92.0000,32.00,27.00,1.00,9.00,13.00,10.00
US-PA,155,92.0000,70.00,3.00,1.00,1.00,2.00,15.00
US-IL,608,92.0000,30.00,27.00,1.00,27.00,3.00,4.00
US-IL,616,92.0000,53.00,17.00,,5.00,4.00,13.00
US-WV,264,91.0000,80.00,4.00,,2.00,1.00,4.00
US-MO,646,91.0000,60.00,1.00,1.00,1.00,7.00,21.00
US-NE,690,90.0000,75.00,,,5.00,3.00,7.00
US-AR,717,90.0000,55.00,15.00,7.00,2.00,,11.00
US-PR,007,90.0000,,,,53.00,,37.00
US-CA,903,90.0000,12.00,26.00,,22.00,2.00,28.00
US-AL,361,89.0000,21.00,35.00,3.00,2.00,,28.00
US-CO,807,87.0000,44.00,1.00,,12.00,3.00,27.00
US-CA,961,87.0000,50.00,1.00,,10.00,10.00,16.00
US-MO,635,86.0000,64.00,6.00,,1.00,3.00,12.00
US-VT,057,85.0000,64.00,1.00,1.00,1.00,5.00,13.00
US-MN,567,84.0000,61.00,4.00,,10.00,1.00,8.00
US-MO,645,84.0000,54.00,3.00,,1.00,,26.00
US-NE,689,84.0000,59.00,1.00,,2.00,3.00,19.00
US-KY,416,83.0000,63.00,2.00,,,9.00,9.00
US-VA,227,83.0000,57.00,6.00,,6.00,8.00,6.00
US-MS,397,83.0000,42.00,16.00,1.00,1.00,3.00,20.00
US-MN,566,82.0000,50.00,2.00,,2.00,13.00,15.00
US-MO,654,82.0000,58.00,2.00,,1.00,3.00,18.00
US-OR,976,81.0000,55.00,4.00,,7.00,3.00,12.00
US-PA,169,81.0000,67.00,3.00,,2.00,2.00,7.00
US-IL,603,81.0000,47.00,14.00,3.00,11.00,2.00,4.00
US-CO,803,80.0000,43.00,5.00,1.00,10.00,10.00,11.00
US-MT,594,80.0000,46.00,,1.00,3.00,5.00,25.00
US-MT,599,79.0000,45.00,1.00,2.00,2.00,2.00,27.00
US-VT,050,78.0000,51.00,,,1.00,6.00,20.00
US-MA,013,78.0000,51.00,1.00,,8.00,2.00,16.00
