Patient State,Patient ZIP-3,Cohort Patient Count or %,White,Black or African American,Asian or Pacific Islander,Hispanic or Latino,Other,Unknown
US-MI,484,1183.0000,916.00,64.00,18.00,66.00,24.00,95.00
US-GA,302,1174.0000,411.00,365.00,8.00,43.00,55.00,292.00
US-IL,605,1168.0000,663.00,85.00,48.00,170.00,50.00,152.00
US-WI,549,1164.0000,610.00,40.00,12.00,40.00,43.00,419.00
US-OK,731,1161.0000,674.00,225.00,10.00,113.00,32.00,107.00
US-NY,100,1156.0000,265.00,235.00,61.00,292.00,41.00,262.00
US-CA,913,1153.0000,390.00,61.00,59.00,294.00,117.00,232.00
US-NC,280,1148.0000,689.00,160.00,6.00,50.00,31.00,212.00
US-TX,774,1147.0000,333.00,195.00,44.00,163.00,73.00,339.00
US-MO,631,1140.0000,468.00,326.00,13.00,23.00,60.00,250.00
US-VA,234,1133.0000,488.00,318.00,30.00,108.00,82.00,107.00
US-TN,373,1132.0000,748.00,47.00,5.00,22.00,36.00,274.00
US-TX,751,1131.0000,528.00,253.00,12.00,175.00,24.00,139.00
US-MI,494,1129.0000,712.00,79.00,20.00,71.00,19.00,228.00
US-MO,630,1126.0000,596.00,93.00,7.00,24.00,51.00,355.00
US-FL,335,1120.0000,550.00,93.00,11.00,176.00,61.00,229.00
US-OH,450,1108.0000,796.00,86.00,14.00,67.00,38.00,107.00
US-MA,023,1081.0000,760.00,142.00,15.00,114.00,26.00,24.00
US-OH,430,1078.0000,539.00,57.00,11.00,27.00,37.00,407.00
US-NJ,088,1075.0000,432.00,101.00,51.00,133.00,109.00,249.00
US-MD,217,1073.0000,695.00,153.00,17.00,67.00,38.00,103.00
US-IN,463,1069.0000,619.00,89.00,9.00,136.00,33.00,183.00
US-FL,322,1064.0000,481.00,89.00,188.00,97.00,19.00,190.00
US-DC,200,1059.0000,110.00,725.00,17.00,57.00,12.00,138.00
US-PA,152,1056.0000,546.00,106.00,12.00,36.00,14.00,342.00
US-MI,495,1054.0000,480.00,134.00,13.00,63.00,11.00,353.00
US-OK,730,1048.0000,709.00,62.00,6.00,63.00,34.00,174.00
US-PA,170,1042.0000,640.00,54.00,4.00,74.00,15.00,255.00
US-CT,060,1041.0000,536.00,80.00,16.00,121.00,54.00,234.00
US-ID,836,1040.0000,548.00,20.00,8.00,74.00,37.00,353.00
US-OH,454,1025.0000,514.00,187.00,11.00,29.00,32.00,252.00
US-FL,321,1018.0000,622.00,79.00,16.00,65.00,34.00,202.00
US-KY,403,1015.0000,745.00,56.00,4.00,23.00,68.00,119.00
US-TX,762,1014.0000,615.00,84.00,20.00,157.00,19.00,119.00
US-IN,462,1008.0000,531.00,183.00,11.00,33.00,24.00,226.00
US-FL,329,1005.0000,544.00,56.00,20.00,89.00,43.00,253.00
US-AZ,851,1001.0000,534.00,61.00,10.00,163.00,58.00,175.00
US-CA,922,990.0000,377.00,53.00,25.00,352.00,52.00,131.00
US-NC,286,985.0000,737.00,69.00,10.00,43.00,19.00,107.00
US-GA,305,979.0000,618.00,63.00,8.00,39.00,48.00,203.00
US-TX,787,966.0000,326.00,62.00,17.00,142.00,27.00,392.00
US-LA,713,960.0000,461.00,256.00,6.00,47.00,17.00,173.00
US-MD,207,959.0000,160.00,499.00,18.00,69.00,13.00,200.00
US-MD,210,957.0000,450.00,135.00,22.00,28.00,15.00,307.00
US-NV,890,953.0000,413.00,131.00,31.00,157.00,46.00,175.00
US-VA,236,950.0000,334.00,412.00,12.00,71.00,41.00,80.00
US-MA,019,947.0000,714.00,47.00,15.00,132.00,21.00,18.00
US-FL,344,944.0000,510.00,65.00,14.00,123.00,27.00,205.00
