Patient Payer Name,Cohort Patient Count or %
TEXAS CHILDREN'S HEALTH PLAN,429.000000000000
STATE FFS MEDICAID (NV),427.000000000000
MHS INDIANA,426.000000000000
BLUECROSS BLUESHIELD OF MISSISSIPPI,423.000000000000
HEALTH PLAN OF SAN JOAQUIN,401.000000000000
COUNTYCARE HEALTH PLAN,399.000000000000
STATE FFS MEDICAID (AL),394.000000000000
PEACH STATE HEALTH PLAN,392.000000000000
MEDICA,390.000000000000
HIGHMARK BLUE CROSS BLUE SHIELD WEST VIRGINIA,389.000000000000
DEAN HEALTH PLAN,386.000000000000
ARIZONA COMPLETE HEALTH,382.000000000000
NETWORK HEALTH,375.000000000000
STATE FFS MEDICAID (IN),372.000000000000
MEDSTAR FAMILY CHOICE,362.000000000000
SIERRA HEALTH AND LIFE,357.000000000000
COMMUNITY HEALTH GROUP,350.000000000000
BRIGHT HEALTH,347.000000000000
MAGELLAN COMPLETE CARE,345.000000000000
STATE FFS MEDICAID (OH),343.000000000000
UNITED MEDICAL RESOURCES TPA,342.000000000000
STATE FFS MEDICAID (MN),339.000000000000
KERN HEALTH SYSTEMS,337.000000000000
STATE FFS MEDICAID (VT),333.000000000000
WELL SENSE HEALTH PLAN NH,330.000000000000
BLUECARE TENNESSEE,322.000000000000
SCAN DESERT HEALTH PLAN,321.000000000000
CENTRAL CALIFORNIA ALLIANCE FOR HEALTH,319.000000000000
AMERIHEALTH CARITAS FLORIDA,315.000000000000
PROVIDENCE HEALTH PLAN,311.000000000000
CAREPLUS HEALTH PLANS,301.000000000000
CHRISTUS HEALTH PLAN,295.000000000000
STATE FFS MEDICAID (MT),282.000000000000
STATE FFS MEDICAID (MD),276.000000000000
STATE FFS MEDICAID (IL),270.000000000000
SCOTT & WHITE HEALTH PLAN,262.000000000000
WEB TPA,260.000000000000
STATE FFS MEDICAID (FL),252.000000000000
CAPITAL BLUECROSS,250.000000000000
UMPQUA HEALTH ALLIANCE,248.000000000000
COMMUNITY HEALTH CHOICE,241.000000000000
REGENCE BLUECROSS BLUESHIELD OF UTAH,240.000000000000
STATE FFS MEDICAID (AR),237.000000000000
CORESOURCE (TRUSTMARK),236.000000000000
COLORADO ACCESS,230.000000000000
STATE FFS MEDICAID (TX),226.000000000000
QUARTZ,226.000000000000
UHC OXFORD,226.000000000000
CONNECTICARE,223.000000000000
MAGNOLIA HEALTH,222.000000000000
STATE FFS MEDICAID (NY),220.000000000000
ALLCARE HEALTH PLAN,217.000000000000
ILLINICARE HEALTH,214.000000000000
1199 SEIU,213.000000000000
HEALTH PLAN OF NEVADA,209.000000000000
AFFINITY HEALTH PLAN,207.000000000000
SECURITY HEALTH PLAN,205.000000000000
HOME STATE HEALTH,202.000000000000
STAYWELL (WELLCARE),196.000000000000
NEBRASKA TOTAL CARE,191.000000000000
CALIFORNIA HEALTH & WELLNESS,185.000000000000
GOLD COAST HEALTH PLAN,185.000000000000
INDEPENDENT HEALTH,184.000000000000
WESTERN HEALTH ADVANTAGE,183.000000000000
HEALTH NEW ENGLAND,182.000000000000
COMMUNITY FIRST HEALTH PLANS,175.000000000000
SHARP HEALTH PLAN,173.000000000000
ALIGNMENT HEALTH PLAN,173.000000000000
ROCKY MOUNTAIN HEALTH PLANS,172.000000000000
SANFORD HEALTH PLAN,171.000000000000
HEALTH PLANS INC,168.000000000000
DRISCOLL HEALTH PLAN,167.000000000000
STATE FFS MEDICAID (NJ),166.000000000000
BLUECROSS BLUESHIELD OF WESTERN NEW YORK,161.000000000000
STATE FFS MEDICAID (MI),159.000000000000
HEALTHCHOICE,158.000000000000
MEDCOST,157.000000000000
SUNFLOWER HEALTH PLAN,155.000000000000
ALLIED BENEFIT SYSTEMS,152.000000000000
PREFERREDONE,150.000000000000
BLUE CROSS BLUE SHIELD OF RHODE ISLAND,148.000000000000
COMMUNITYCARE (OK),146.000000000000
FREEDOM HEALTH,140.000000000000
STATE FFS MEDICAID (WV),138.000000000000
MUTUAL OF OMAHA,136.000000000000
STATE FFS MEDICAID (WY),136.000000000000
TRILLIUM COMMUNITY HEALTH PLAN,136.000000000000
BLUECROSS BLUESHIELD OF MONTANA,131.000000000000
CHORUS COMMUNITY HEALTH PLANS,131.000000000000
STATE FFS MEDICAID (VA),130.000000000000
CLOVER HEALTH,129.000000000000
STATE FFS MEDICAID (AK),125.000000000000
HAWAII MEDICAL SERVICE ASSOCIATION (BCBS),124.000000000000
MAGNACARE,122.000000000000
VISION,121.000000000000
STATE FFS MEDICAID (KY),121.000000000000
STATE FFS MEDICAID (UT),120.000000000000
CENCAL HEALTH,119.000000000000
BLUECROSS BLUESHIELD OF VERMONT,118.000000000000
BLUE CROSS BLUE SHIELD OF NORTH DAKOTA,117.000000000000
ABSOLUTE TOTAL CARE,116.000000000000
COLORADO COMMUNITY HEALTH ALLIANCE,113.000000000000
JAI MEDICAL SYSTEMS,110.000000000000
TOTAL HEALTH CARE,110.000000000000
STATE FFS MEDICAID (AZ),108.000000000000
COVID PROGRAMS,106.000000000000
NEW HAMPSHIRE HEALTHY FAMILIES,106.000000000000
UPPER PENINSULA HEALTH PLAN,105.000000000000
OTHER,104.000000000000
HEALTHSCOPE,103.000000000000
BLUE CROSS BLUE SHIELD OF WYOMING,101.000000000000
STATE FFS MEDICAID (OR),96.000000000000
MARTIN'S POINT HEALTHCARE,96.000000000000
ICARE,96.000000000000
DENTAL,95.000000000000
FLORIDA HEALTH CARE PLANS,93.000000000000
HENNEPIN HEALTH,92.000000000000
OHIO STATE UNIVERSITY (TRUSTMARK),91.000000000000
OPTIMUM HEALTHCARE,90.000000000000
STATE FFS MEDICAID (MS),90.000000000000
BRAND NEW DAY,87.000000000000
AVMED,86.000000000000
AMERIHEALTH NEW JERSEY,84.000000000000
GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,84.000000000000
GROUP HEALTH COOPERATIVE OF EAU CLAIRE,84.000000000000
PARKLAND COMMUNITY HEALTH PLAN,84.000000000000
UTAH PUBLIC EMPLOYEES HEALTH PLAN,83.000000000000
VALLEY HEALTH PLAN,82.000000000000
COORDINATED CARE,81.000000000000
COOK CHILDREN'S HEALTH PLAN,80.000000000000
REGENCE BLUESHIELD OF IDAHO,79.000000000000
ALAMEDA ALLIANCE FOR HEALTH,79.000000000000
PRIMEWEST HEALTH,79.000000000000
SANTA CLARA FAMILY HEALTH PLAN,78.000000000000
COMMUNITY HEALTH OPTIONS,78.000000000000
STATE FFS MEDICAID (SD),77.000000000000
EMPOWER HEALTHCARE SOLUTIONS,76.000000000000
AULTCARE,76.000000000000
VIVA HEALTH,76.000000000000
UNIVERSITY OF MICHIGAN HEALTH PLAN (UM HEALTH PLAN),75.000000000000
CAREFIRST BLUECROSS BLUESHIELD COMMUNITY HEALTH PLAN MARYLAND,74.000000000000
COMMUNITY CARE HEALTH PLAN (WI),71.000000000000
CONTRA COSTA HEALTH PLAN,71.000000000000
ALLIANT HEALTH PLANS,70.000000000000
HOMETOWN HEALTH,69.000000000000
SILVERSUMMIT HEALTHPLAN,67.000000000000
ARKANSAS TOTAL CARE,66.000000000000
FRIDAY HEALTH PLANS,64.000000000000
ESSENCE HEALTHCARE,64.000000000000
JACKSON CARE CONNECT,64.000000000000
HIGHMARK BCBS OF WESTERN NEW YORK AND NORTHEASTERN NEW YORK,62.000000000000
WEST VIRGINIA FAMILY HEALTH,61.000000000000
STATE FFS MEDICAID (SC),61.000000000000
ALOHACARE,61.000000000000
ATRIO HEALTH PLANS,60.000000000000
AVERA HEALTH PLANS,59.000000000000
STATE FFS MEDICAID (ND),59.000000000000
STATE FFS MEDICAID (IA),57.000000000000
DEVOTED HEALTH,56.000000000000
STATE FFS MEDICAID (WA),56.000000000000
HEALTH PLAN OF SAN MATEO,56.000000000000
COMMON GROUND HEALTHCARE COOPERATIVE,53.000000000000
PEOPLE'S HEALTH,53.000000000000
WPS HEALTH PLAN,53.000000000000
STATE FFS MEDICAID (DC),53.000000000000
VANTAGE HEALTH PLAN,49.000000000000
STATE FFS MEDICAID (PA),49.000000000000
PROMINENCE HEALTH PLAN,48.000000000000
ALTAMED,48.000000000000
CAPITAL HEALTH PLAN,47.000000000000
CAREFIRST ADMINISTRATORS,47.000000000000
WEA INSURANCE,45.000000000000
STATE FFS MEDICAID (KS),44.000000000000
TRUSTED HEALTH PLAN,44.000000000000
MASS GENERAL BRIGHAM HEALTH PLAN,44.000000000000
CARE N CARE,43.000000000000
ALLWELL,42.000000000000
ONECARE CONNECT,42.000000000000
GILSBAR,42.000000000000
SAN FRANCISCO HEALTH PLAN,41.000000000000
HEALTH SHARE OF OREGON,40.000000000000
HEALTH ALLIANCE MEDICAL PLANS,39.000000000000
INDIANA UNIVERSITY HEALTH PLANS,38.000000000000
TRIPLE-S ADVANTAGE (BCBS),38.000000000000
MISSOURI CARE,38.000000000000
COMMUNITY CARE PLAN (FL),36.000000000000
EASTERN OREGON CCO,36.000000000000
ELDERPLAN,36.000000000000
SAMARITAN HEALTH PLAN,35.000000000000
CORPORATE BENEFIT SERVICE,34.000000000000
VNS HEALTH,34.000000000000
TEACHERS HEALTH TRUST,34.000000000000
HEALTHSUN HEALTH PLANS,34.000000000000
CARE IMPROVEMENT PLUS,34.000000000000
PREFERRED CARE PARTNERS,33.000000000000
CULINARY WORKERS UNION,32.000000000000
QUALCHOICE,32.000000000000
SCRIPPS CLINIC HEALTH PLAN,30.000000000000
YAMHILL COMMUNITY CARE ORGANIZATION,30.000000000000
WESTERN SKY COMMUNITY CARE,29.000000000000
DENVER HEALTH MEDICAL PLAN,29.000000000000
MEDBEN,29.000000000000
HEALTHY U MEDICAID,29.000000000000
SUMMACARE,29.000000000000
SOUTH COUNTRY HEALTH ALLIANCE,28.000000000000
SUTTER HEALTH PLUS,27.000000000000
CENTERS PLAN FOR HEALTHY LIVING,26.000000000000
PHYSICIANS HEALTH PLAN OF NORTHERN INDIANA,26.000000000000
SIHO INSURANCE SERVICES,26.000000000000
ALL SAVERS INSURANCE,26.000000000000
STATE FFS MEDICAID (LA),25.000000000000
EL PASO HEALTH,24.000000000000
CASCADE HEALTH ALLIANCE,24.000000000000
PIEDMONT COMMUNITY HEALTH PLAN,23.000000000000
CAROLINA COMPLETE HEALTH,22.000000000000
AUTOMATED BENEFIT SERVICES,21.000000000000
POMCO,21.000000000000
JOHN HOPKINS ADVANTAGE MD,21.000000000000
STATE FFS MEDICAID (TN),21.000000000000
HEALTHSMART,21.000000000000
UNITED MINE WORKERS OF AMERICA,20.000000000000
FAMILY HEALTH NETWORK,19.000000000000
VILLAGECARE,19.000000000000
GLOBALHEALTH,19.000000000000
HAWAII MEDICAL ASSURANCE ASSOCIATION,19.000000000000
HEALTH FIRST HEALTH PLANS,18.000000000000
MEDICAL ASSOCIATES HEALTH PLAN,17.000000000000
UNIVERSITY OF UTAH HEALTH PLANS,17.000000000000
UHA HEALTH INSURANCE,16.000000000000
LIFEWISE HEALTH PLAN OF OREGON,16.000000000000
STATE FFS MEDICAID (NM),16.000000000000
TRUE HEALTH NEW MEXICO,15.000000000000
STATE FFS MEDICAID (NH),15.000000000000
ULTIMATE HEALTH PLANS,15.000000000000
ASPIRUS HEALTH PLAN,13.000000000000
MMM,13.000000000000
AMERIHEALTH MICHIGAN,13.000000000000
VISTA HEALTHPLAN,13.000000000000
NEW MEXICO HEALTH CONNECTIONS,12.000000000000
STATE FFS MEDICAID (DE),12.000000000000
NIPPON LIFE BENEFITS,12.000000000000
SENDERO HEALTH PLANS,11.000000000000
BLUECHOICE HEALTHPLAN SOUTH CAROLINA,11.000000000000
HEALTHTRADITION,10.000000000000
CENPATICO,10.000000000000
CENTRAL HEALTH PLAN OF CALIFORNIA,10.000000000000
ASURIS NORTHWEST HEALTH,10.000000000000
ALTIUS,10.000000000000
MMO SUPERMED PPO NETWORK,9.000000000000
COX HEALTHPLANS,9.000000000000
HIGHMARK BLUE CROSS BLUE SHIELD (PA),9.000000000000
VENTURA COUNTY HEALTH CARE PLAN,7.000000000000
MEDIGOLD,7.000000000000
FIRSTCAROLINACARE INSURANCE COMPANY,7.000000000000
MANAGED CARE SYSTEMS,7.000000000000
MCS CLASSICARE,7.000000000000
DAKOTACARE,6.000000000000
ADVANCED HEALTH,6.000000000000
