Patient Payer Channel,Cohort Patient Count or %
MEDICAID,169423.000000000000
COMMERCIAL,166362.000000000000
MEDICARE,88283.000000000000
Unknown,12164.000000000000
VA,976.000000000000
WORKERS COMPENSATION,167.000000000000
